Schecter SGR S-1 WSN, https://www.muztorg.ru/files/e0a/8sr/3i7/a0c/s0k/8k0/cok/o4g/e0a8sr3i7a0cs0k8k0coko4g0.jpeg, 24, 6, H-h, на болтах, клён, липа,
EART YMS-SG3 Trans Blue, https://www.muztorg.ru/files/b13/8ft/pjt/iww/8ow/gsc/8cg/gss/b138ftpjtiww8owgsc8cggss0.jpg, 22, 6, S-s-s, на болтах, клён, красное дерево,
IBANEZ AZES40-MGR, https://www.muztorg.ru/files/ycn/tn6/oab/80c/g0k/8gw/coo/8gs/ycntn6oab80cg0k8gwcoo8gs.jpg, 6, H-s-s, на болтах, клён, тополь, ятоба,
Cort G250-LH-BK G Series, https://www.muztorg.ru/files/3i7/8m5/ivt/i80/s48/0cw/g48/kos/g/3i78m5ivti80s480cwg48kosg.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
Caraya E100BK, https://www.muztorg.ru/files/988/r38/bid/oo4/88g/04c/wws/40c/8/988r38bidoo488g04cwws40c8.jpeg, 21, 6, S, на болтах, клён, клён,
Schecter BANSHEE-6 SGR BLK, https://www.muztorg.ru/files/bmb/6rj/z3j/z4g/gg4/ww8/gc0/c4k/4/bmb6rjz3jz4ggg4ww8gc0c4k4.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-400 SFG, https://www.muztorg.ru/files/1jm/cyn/sej/msk/00o/wcg/0kg/ww4/o/1jmcynsejmsk00owcg0kgww4o.jpg, 22, 6, H-s-s, на болтах, клён, липа,
ARIA PRO II J-2 CA, https://www.muztorg.ru/files/aj9/l2d/011/i8k/8wc/04c/g0k/8o8/s/aj9l2d011i8k8wc04cg0k8o8s.jpeg, 24, 6, S-s, на болтах, клён, тополь,
Bosstone TG-03 WH+Bag, https://www.muztorg.ru/files/5fx/4c7/4ml/k4k/gsk/0gs/84s/0o8/s/5fx4c74mlk4kgsk0gs84s0o8s.jpg, 21, 6, S-s, на болтах, клён, платан,
IBANEZ Q52PB-ABS, https://www.muztorg.ru/files/9xd/kqp/8lb/u0o/4ws/0oo/4gg/wwo/9xdkqp8lbu0o4ws0oo4ggwwo0.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
TERRIS TLP-039 LB, https://www.muztorg.ru/files/p13/q61/r5o/m8k/g8c/g8c/sk4/k8g/p13q61r5om8kg8cg8csk4k8g.jpg, 22, 6, H-h, на болтах, клён, липа,
Schecter BANSHEE-6 SGR EB, https://www.muztorg.ru/files/5jf/nds/1zr/cgs/g8k/g0c/c80/s8w/8/5jfnds1zrcgsg8kg0cc80s8w8.png, 24, 6, H-h, на болтах, клён, липа,
Russtone RULP-D BK, https://www.muztorg.ru/files/8mq/jhj/is2/5s8/csc/ko8/48o/8o0/k/8mqjhjis25s8cscko848o8o0k.jpg, 22, 6, H-h, на болтах, клён, тополь,
